vehicle_category,vehicle_type,engine_cc,cylinders,horsepower,weight_kg,transmission,fuel_type,cooling_system,daily_distance_km,daily_income,fuel_price_per_liter,year,fuel_efficiency_kmpl,label
Roda2,Matic,110.9,1,10.0,95.0,CVT,Bensin,Air-cooled,21.4,80707.0,13766.0,2015,44.66,Hemat
Roda2,Matic,144.1,1,13.8,120.4,CVT,Bensin,Liquid-cooled,79.3,98043.0,10338.0,2017,35.0,Boros
Roda4,MPV,1535.4,4,104.7,1326.3,Automatic,Bensin,Liquid-cooled,30.9,255241.0,12067.0,2025,10.2,Boros
Roda2,Matic,146.0,1,14.3,119.6,CVT,Bensin,Liquid-cooled,49.4,68655.0,11358.0,2025,35.0,Boros
Roda4,City Car,1020.5,3,68.1,800.0,CVT,Bensin,Liquid-cooled,25.2,228647.0,12032.0,2016,19.44,Hemat
Roda4,MPV,1771.2,4,127.1,1457.7,Automatic,Bensin,Liquid-cooled,60.8,341230.0,11821.0,2022,9.0,Boros
Roda2,Sport Besar,538.1,4,60.6,210.8,Manual,Bensin,Liquid-cooled,33.4,214414.0,10711.0,2022,16.11,Boros
Roda2,Bebek,141.0,1,11.5,103.9,Manual,Bensin,Air-cooled,26.6,70991.0,13003.0,2026,42.0,Boros
Roda2,Sport,231.3,1,23.7,164.5,Manual,Bensin,Liquid-cooled,32.7,279295.0,12547.0,2026,28.0,Boros
Roda2,Matic,143.3,1,14.1,111.5,CVT,Bensin,Liquid-cooled,62.0,113017.0,11771.0,2025,35.0,Boros
Roda4,SUV,1746.6,4,131.5,1410.5,Automatic,Hybrid,Liquid-cooled,49.5,417232.0,13938.0,2026,11.18,Hemat
Roda4,MPV,1431.5,4,97.1,1211.6,Manual,Bensin,Liquid-cooled,84.4,167860.0,10059.0,2020,12.73,Hemat
Roda4,City Car,1002.6,3,65.6,807.0,Manual,Bensin,Liquid-cooled,79.3,538930.0,12594.0,2023,16.61,Hemat
Roda2,Matic,124.7,1,11.6,100.3,CVT,Bensin,Air-cooled,15.0,171552.0,12329.0,2026,47.88,Hemat
Roda2,Bebek,131.7,1,11.1,101.8,Manual,Bensin,Air-cooled,51.4,91475.0,10096.0,2026,44.16,Boros
Roda4,City Car,1003.4,4,72.1,817.2,CVT,Bensin,Liquid-cooled,43.5,395553.0,13015.0,2018,17.75,Hemat
Roda4,City Car,1095.1,3,70.4,847.5,Manual,Bensin,Liquid-cooled,57.9,145765.0,11153.0,2020,15.55,Hemat
Roda2,Bebek,106.3,1,7.7,90.4,Manual,Bensin,Air-cooled,21.6,64776.0,12694.0,2023,59.39,Hemat
Roda4,SUV,1849.7,4,139.6,1472.8,Automatic,Hybrid,Liquid-cooled,90.9,112295.0,13918.0,2017,8.0,Boros
Roda2,Matic,152.8,1,14.6,122.2,CVT,Bensin,Liquid-cooled,58.0,160002.0,11479.0,2022,36.39,Boros
Roda2,Bebek,131.9,1,10.1,104.6,Manual,Bensin,Air-cooled,16.9,205739.0,11743.0,2022,42.0,Boros
Roda2,Matic,116.3,1,9.1,103.6,CVT,Bensin,Air-cooled,20.3,188040.0,12936.0,2026,49.37,Hemat
Roda4,MPV,1339.7,4,89.7,1105.0,Manual,Diesel,Liquid-cooled,27.4,586766.0,12079.0,2024,14.68,Hemat
Roda4,SUV,1797.9,4,125.9,1454.8,CVT,Bensin,Liquid-cooled,61.6,206055.0,13615.0,2015,8.0,Boros
Roda2,Sport,189.0,2,21.9,145.1,Manual,Bensin,Liquid-cooled,79.8,239102.0,12866.0,2020,28.0,Boros
Roda2,Matic,113.0,1,9.9,95.8,CVT,Bensin,Air-cooled,28.5,181906.0,12018.0,2016,49.35,Hemat
Roda2,Matic,154.3,1,14.9,119.6,CVT,Bensin,Air-cooled,25.2,92431.0,10001.0,2023,35.0,Boros
Roda2,Sport,224.6,2,28.6,152.1,Manual,Bensin,Liquid-cooled,28.7,253435.0,13823.0,2023,28.0,Boros
Roda4,SUV,1544.0,4,106.4,1261.1,DCT,Bensin,Liquid-cooled,41.6,294125.0,10913.0,2024,12.22,Hemat
Roda4,SUV,1578.9,4,106.0,1222.6,Automatic,Bensin,Liquid-cooled,93.2,473085.0,11409.0,2020,11.71,Hemat
Roda4,City Car,1132.7,3,70.6,846.6,CVT,Bensin,Liquid-cooled,21.7,114575.0,13482.0,2019,17.35,Hemat
Roda2,Sport Besar,353.1,3,39.7,173.5,Manual,Bensin,Liquid-cooled,76.9,52335.0,10755.0,2015,17.06,Boros
Roda2,Matic,153.5,1,14.9,122.7,CVT,Bensin,Air-cooled,28.9,61659.0,11686.0,2016,35.0,Boros
Roda4,City Car,1052.0,3,72.8,833.8,Automatic,Bensin,Liquid-cooled,52.7,276038.0,11914.0,2016,15.19,Hemat
Roda2,Matic,154.8,1,15.2,123.3,CVT,Bensin,Liquid-cooled,79.5,163928.0,12784.0,2020,35.0,Boros
Roda2,Matic,143.2,1,15.8,109.5,CVT,Bensin,Liquid-cooled,46.2,254777.0,12134.0,2024,35.0,Boros
Roda4,MPV,1657.9,4,112.3,1344.6,Automatic,Bensin,Liquid-cooled,96.4,453659.0,10630.0,2021,9.0,Boros
Roda2,Sport,175.8,2,20.3,136.6,Manual,Bensin,Liquid-cooled,49.7,149308.0,13396.0,2019,28.0,Boros
Roda2,Bebek,148.9,1,11.3,110.0,Manual,Bensin,Air-cooled,57.0,158831.0,12142.0,2026,42.0,Boros
Roda4,City Car,1217.7,3,70.1,908.1,CVT,Bensin,Liquid-cooled,90.3,449912.0,13637.0,2016,13.04,Boros
Roda4,City Car,1042.3,3,76.4,825.6,Automatic,Bensin,Liquid-cooled,97.4,274511.0,13636.0,2025,17.37,Hemat
Roda4,SUV,1941.0,4,137.7,1600.0,DCT,Hybrid,Liquid-cooled,84.7,172074.0,13931.0,2023,9.26,Boros
Roda2,Matic,141.3,1,15.0,121.2,CVT,Bensin,Liquid-cooled,73.2,268929.0,13126.0,2020,35.0,Boros
Roda2,Matic,138.6,1,13.2,115.7,CVT,Bensin,Liquid-cooled,41.5,97158.0,11981.0,2019,35.0,Boros
Roda4,MPV,1363.4,4,87.1,1200.9,Automatic,Bensin,Liquid-cooled,50.7,466361.0,11617.0,2019,9.0,Boros
Roda2,Sport,180.4,2,19.0,144.3,Manual,Bensin,Liquid-cooled,39.1,90496.0,10694.0,2026,32.81,Boros
Roda4,MPV,1474.2,4,100.3,1251.8,Automatic,Diesel,Liquid-cooled,30.0,543898.0,8384.0,2016,12.69,Hemat
Roda4,SUV,1968.2,4,149.2,1580.6,CVT,Diesel,Liquid-cooled,76.1,469629.0,12111.0,2025,8.0,Boros
Roda2,Matic,131.4,1,12.0,110.7,CVT,Bensin,Liquid-cooled,74.5,94279.0,12061.0,2020,35.0,Boros
Roda4,MPV,1773.0,4,130.0,1500.0,Manual,Diesel,Liquid-cooled,36.5,428300.0,9930.0,2025,9.0,Boros
Roda2,Matic,134.2,1,12.3,104.5,CVT,Bensin,Liquid-cooled,56.9,273597.0,10223.0,2020,37.6,Boros
Roda2,Matic,136.3,1,12.9,105.2,CVT,Bensin,Air-cooled,58.8,218425.0,10994.0,2023,43.24,Hemat
Roda4,SUV,1898.3,4,144.3,1474.5,Automatic,Diesel,Liquid-cooled,80.1,379834.0,11111.0,2019,8.0,Boros
Roda4,City Car,1243.7,3,84.9,940.1,Automatic,Bensin,Liquid-cooled,61.0,490668.0,10238.0,2022,13.0,Boros
Roda4,City Car,1279.8,3,93.1,971.6,Automatic,Bensin,Liquid-cooled,60.9,520489.0,12050.0,2025,13.0,Boros
Roda4,MPV,1633.9,4,113.6,1397.5,CVT,Diesel,Liquid-cooled,49.1,383626.0,10151.0,2017,9.93,Boros
Roda2,Bebek,104.8,1,7.6,90.2,Manual,Bensin,Air-cooled,72.0,283576.0,13574.0,2016,47.66,Boros
Roda4,City Car,1253.0,4,91.5,1074.8,Automatic,Bensin,Liquid-cooled,53.5,339897.0,12597.0,2021,13.0,Boros
Roda4,SUV,1897.3,4,137.2,1564.8,DCT,Hybrid,Liquid-cooled,38.3,464876.0,14277.0,2018,10.69,Boros
Roda2,Sport Besar,359.7,3,32.9,203.9,Manual,Bensin,Liquid-cooled,23.6,183031.0,12228.0,2022,17.47,Boros
Roda4,MPV,1579.2,4,109.2,1244.8,Manual,Bensin,Liquid-cooled,83.5,195539.0,11786.0,2018,10.75,Boros
Roda2,Matic,123.9,1,10.9,97.0,CVT,Bensin,Air-cooled,20.1,61491.0,13421.0,2016,45.66,Hemat
Roda4,MPV,1698.5,4,113.0,1376.6,Automatic,Diesel,Liquid-cooled,74.3,385092.0,7148.0,2023,10.69,Boros
Roda2,Sport Besar,268.7,4,35.7,160.0,Manual,Bensin,Liquid-cooled,43.5,86299.0,12679.0,2020,27.01,Hemat
Roda4,SUV,1582.5,4,111.1,1200.0,Automatic,Hybrid,Liquid-cooled,72.8,116215.0,14206.0,2020,14.18,Hemat
Roda4,SUV,1724.9,4,118.7,1356.0,CVT,Diesel,Liquid-cooled,95.0,315124.0,7330.0,2015,9.94,Boros
Roda4,SUV,1536.5,4,111.4,1227.8,CVT,Hybrid,Liquid-cooled,82.8,233531.0,14394.0,2020,13.42,Hemat
Roda2,Sport,178.4,1,22.5,130.8,Manual,Bensin,Liquid-cooled,64.5,130986.0,10526.0,2015,28.12,Boros
Roda4,SUV,1548.5,4,100.9,1200.0,CVT,Bensin,Liquid-cooled,36.9,555771.0,13366.0,2026,14.69,Hemat
Roda2,Matic,130.6,1,11.9,104.0,CVT,Bensin,Liquid-cooled,27.7,279745.0,12613.0,2022,44.59,Hemat
Roda2,Matic,133.2,1,12.3,106.6,CVT,Bensin,Air-cooled,37.2,164365.0,13859.0,2025,40.43,Boros
Roda2,Bebek,148.4,1,11.4,104.2,Manual,Bensin,Air-cooled,77.3,183909.0,12411.0,2026,42.0,Boros
Roda2,Sport,209.4,2,22.6,155.5,Manual,Bensin,Liquid-cooled,48.3,214860.0,13751.0,2015,28.0,Boros
Roda4,SUV,1535.4,4,102.3,1214.2,CVT,Diesel,Liquid-cooled,82.2,376769.0,7689.0,2024,14.42,Hemat
Roda2,Sport Besar,570.0,2,56.9,231.6,Manual,Bensin,Liquid-cooled,55.8,122431.0,13850.0,2022,16.0,Boros
Roda2,Sport,195.6,1,23.8,149.2,Manual,Bensin,Liquid-cooled,68.5,230461.0,10913.0,2015,28.0,Boros
Roda2,Sport Besar,537.0,4,59.9,228.4,Manual,Bensin,Liquid-cooled,22.5,77766.0,12152.0,2016,16.0,Boros
Roda2,Sport Besar,466.4,3,48.8,195.5,Manual,Bensin,Liquid-cooled,41.7,239676.0,11640.0,2016,16.2,Boros
Roda2,Sport Besar,598.6,4,60.5,235.2,Manual,Bensin,Liquid-cooled,66.0,210897.0,10651.0,2025,16.0,Boros
Roda2,Sport Besar,380.7,2,38.6,189.0,Manual,Bensin,Liquid-cooled,33.5,250960.0,10418.0,2020,21.99,Boros
Roda2,Matic,113.4,1,9.3,97.4,CVT,Bensin,Air-cooled,51.6,238847.0,10540.0,2021,52.32,Hemat
Roda4,SUV,1825.5,4,133.4,1428.6,DCT,Hybrid,Liquid-cooled,35.6,563182.0,14276.0,2018,10.91,Boros
Roda4,MPV,1566.0,4,107.2,1319.6,Automatic,Diesel,Liquid-cooled,40.9,261084.0,12313.0,2023,10.78,Boros
Roda2,Bebek,149.4,1,12.0,110.0,Manual,Bensin,Air-cooled,47.2,164491.0,11547.0,2026,42.0,Boros
Roda2,Bebek,109.4,1,8.5,92.5,Manual,Bensin,Air-cooled,46.7,262012.0,13276.0,2018,54.43,Hemat
Roda4,SUV,1755.2,4,120.7,1498.2,Automatic,Diesel,Liquid-cooled,78.7,176833.0,12686.0,2026,10.23,Boros
Roda4,SUV,1579.0,4,100.0,1294.2,Manual,Hybrid,Liquid-cooled,37.8,365231.0,14065.0,2015,12.7,Hemat
Roda2,Bebek,104.7,1,7.6,90.0,Manual,Bensin,Air-cooled,59.0,261665.0,13340.0,2017,59.16,Hemat
Roda2,Matic,142.6,1,14.4,117.9,CVT,Bensin,Liquid-cooled,48.6,129803.0,11655.0,2021,35.0,Boros
Roda4,City Car,1418.6,4,105.0,1095.9,Automatic,Bensin,Liquid-cooled,95.9,277914.0,11708.0,2023,13.0,Boros
Roda2,Matic,129.0,1,11.4,104.1,CVT,Bensin,Liquid-cooled,39.1,291188.0,12866.0,2024,42.69,Hemat
Roda4,MPV,1652.1,4,117.6,1417.5,CVT,Diesel,Liquid-cooled,83.3,342721.0,8587.0,2020,9.95,Boros
Roda4,MPV,1585.2,4,108.4,1281.9,Manual,Diesel,Liquid-cooled,60.0,214106.0,8038.0,2022,11.69,Boros
Roda4,SUV,1661.8,4,118.5,1334.1,DCT,Bensin,Liquid-cooled,84.0,233699.0,11251.0,2017,9.12,Boros
Roda4,MPV,1312.3,4,85.0,1100.0,Manual,Diesel,Liquid-cooled,27.3,484192.0,12104.0,2015,15.95,Hemat
Roda4,City Car,1320.2,3,99.3,985.5,CVT,Bensin,Liquid-cooled,61.5,571278.0,10166.0,2018,13.0,Boros
Roda2,Matic,149.6,1,13.7,115.2,CVT,Bensin,Liquid-cooled,54.3,272648.0,11333.0,2021,35.0,Boros
Roda2,Bebek,100.7,1,7.0,92.4,Manual,Bensin,Air-cooled,16.4,231599.0,12135.0,2025,49.49,Hemat
Roda4,MPV,1609.5,4,108.7,1391.5,CVT,Diesel,Liquid-cooled,54.4,370671.0,7281.0,2018,10.98,Boros
Roda2,Matic,126.1,1,12.9,103.6,CVT,Bensin,Air-cooled,51.7,57840.0,10664.0,2024,39.53,Boros
Roda4,SUV,1776.6,4,133.6,1419.0,Manual,Bensin,Liquid-cooled,72.8,562766.0,10336.0,2019,9.19,Boros
Roda4,SUV,1630.0,4,108.3,1298.4,CVT,Diesel,Liquid-cooled,96.3,562243.0,10712.0,2020,12.25,Hemat
Roda4,City Car,1000.9,4,65.0,800.0,Automatic,Bensin,Liquid-cooled,94.6,553182.0,13450.0,2023,18.26,Hemat
Roda2,Matic,143.2,1,12.8,113.2,CVT,Bensin,Liquid-cooled,33.0,223485.0,13354.0,2025,35.0,Boros
Roda4,MPV,1358.4,4,95.4,1123.7,CVT,Diesel,Liquid-cooled,23.4,106142.0,9990.0,2015,13.09,Hemat
Roda4,MPV,1407.0,4,98.6,1182.6,Automatic,Diesel,Liquid-cooled,48.3,136599.0,9880.0,2026,16.55,Hemat
Roda4,MPV,1600.5,4,118.6,1336.4,Automatic,Bensin,Liquid-cooled,50.0,424276.0,11931.0,2017,10.02,Boros
Roda2,Bebek,103.7,1,7.9,94.9,Manual,Bensin,Air-cooled,39.6,246266.0,10763.0,2018,54.16,Hemat
Roda4,SUV,1862.3,4,133.2,1448.0,Automatic,Hybrid,Liquid-cooled,80.5,360559.0,13912.0,2019,8.53,Boros
Roda4,City Car,1452.5,4,98.2,1095.8,Automatic,Bensin,Liquid-cooled,74.2,251508.0,10863.0,2016,13.0,Boros
Roda4,MPV,1768.7,4,130.0,1480.2,CVT,Diesel,Liquid-cooled,55.6,214555.0,9547.0,2021,9.0,Boros
Roda2,Sport Besar,435.3,3,53.1,187.1,Manual,Bensin,Liquid-cooled,35.4,73682.0,11769.0,2018,22.55,Hemat
Roda2,Matic,149.1,1,15.5,117.8,CVT,Bensin,Liquid-cooled,48.3,135426.0,11080.0,2021,35.0,Boros
Roda4,SUV,1782.3,4,126.3,1422.3,Manual,Hybrid,Liquid-cooled,19.2,297037.0,13947.0,2021,9.01,Boros
Roda2,Matic,110.9,1,10.1,95.5,CVT,Bensin,Air-cooled,58.7,224659.0,12745.0,2016,45.86,Hemat
Roda2,Matic,150.3,1,13.8,123.7,CVT,Bensin,Liquid-cooled,77.0,100362.0,13369.0,2025,35.0,Boros
Roda2,Sport Besar,318.7,4,33.4,176.2,Manual,Bensin,Liquid-cooled,22.3,75348.0,11222.0,2025,20.84,Boros
Roda2,Bebek,105.7,1,7.5,93.7,Manual,Bensin,Air-cooled,14.3,194202.0,10465.0,2024,51.39,Hemat
Roda2,Matic,124.6,1,11.6,98.1,CVT,Bensin,Liquid-cooled,24.7,295469.0,12738.0,2024,38.8,Boros
Roda2,Sport Besar,399.8,3,38.3,198.8,Manual,Bensin,Liquid-cooled,72.8,296054.0,11570.0,2018,18.06,Boros
Roda2,Matic,124.3,1,11.2,99.8,CVT,Bensin,Air-cooled,66.5,275908.0,13083.0,2018,40.04,Boros
Roda4,City Car,1008.5,3,69.7,900.6,Manual,Bensin,Liquid-cooled,53.9,195049.0,12913.0,2020,17.01,Hemat
Roda2,Matic,148.5,1,14.2,124.4,CVT,Bensin,Liquid-cooled,61.3,202565.0,10663.0,2022,35.0,Boros
Roda2,Sport Besar,347.5,2,25.0,178.0,Manual,Bensin,Liquid-cooled,61.4,210888.0,12059.0,2017,23.73,Hemat
Roda4,SUV,1595.4,4,106.5,1221.3,CVT,Bensin,Liquid-cooled,35.8,129639.0,12929.0,2021,11.48,Hemat
Roda4,City Car,1489.0,4,105.0,1065.7,Manual,Bensin,Liquid-cooled,84.5,401056.0,13897.0,2018,13.0,Boros
Roda2,Matic,115.5,1,10.3,98.1,CVT,Bensin,Air-cooled,65.5,198971.0,12004.0,2019,48.54,Hemat
Roda4,MPV,1481.2,4,104.8,1298.9,Automatic,Diesel,Liquid-cooled,32.4,565254.0,7230.0,2017,11.27,Boros
Roda2,Matic,122.5,1,11.2,105.3,CVT,Bensin,Air-cooled,38.4,256554.0,10888.0,2017,36.49,Boros
